Meter ID,Reading Date,kWh,Tariff Code
METER-001,2024-01-01,450.5,GRID_AVG
METER-001,2024-01-08,520.3,GRID_AVG
METER-001,2024-01-15,485.7,GRID_AVG
METER-001,2024-01-22,510.2,GRID_AVG
METER-001,2024-01-31,465.8,GRID_AVG
METER-002,2024-01-01,1250.0,GRID_AVG
METER-002,2024-01-08,1180.5,GRID_AVG
METER-002,2024-01-15,1320.3,GRID_AVG
METER-002,2024-01-22,1290.1,GRID_AVG
METER-002,2024-01-31,1350.8,GRID_AVG
METER-001,2024-02-07,540.3,GRID_AVG
METER-001,2024-02-14,515.9,GRID_AVG
METER-001,2024-02-28,490.2,GRID_AVG
METER-002,2024-02-07,1410.5,GRID_AVG
METER-002,2024-02-14,1380.1,GRID_AVG
METER-002,2024-02-28,1420.7,GRID_AVG
